time	V(shifted)
2.070000000000000e-001	5.484154e-001
2.070136754220689e-001	5.493584e-001
2.070410262662068e-001	5.512535e-001
2.070957279544825e-001	5.550863e-001
2.072051313310339e-001	5.629125e-001
2.074239380841368e-001	5.791062e-001
2.078615515903426e-001	6.129555e-001
2.087367786027541e-001	6.827396e-001
2.100000000000000e-001	7.841358e-001
2.100839312914111e-001	7.906659e-001
2.102517938742334e-001	8.036236e-001
2.105875190398779e-001	8.291382e-001
2.112589693711669e-001	8.792338e-001
2.126018700337450e-001	9.782560e-001
2.130000000000000e-001	1.007512e+000
2.131148040841801e-001	1.015968e+000
2.133444122525404e-001	1.032849e+000
2.138036285892609e-001	1.066155e+000
2.147220612627019e-001	1.130029e+000
2.159378593445851e-001	1.210262e+000
2.160000000000000e-001	1.214144e+000
2.160376874600568e-001	1.216395e+000
2.161130623801704e-001	1.220869e+000
2.162638122203977e-001	1.229697e+000
2.165653119008522e-001	1.247040e+000
2.171683112617611e-001	1.281667e+000
2.183743099835791e-001	1.352694e+000
2.190000000000000e-001	1.391091e+000
2.191540155271492e-001	1.401357e+000
2.194620465814475e-001	1.422478e+000
2.200781086900441e-001	1.466836e+000
2.206881828729518e-001	1.513658e+000
2.213817789367230e-001	1.570660e+000
2.220000000000000e-001	1.624005e+000
2.220197035397020e-001	1.625790e+000
2.220591106191059e-001	1.629368e+000
2.221379247779139e-001	1.636567e+000
2.222955530955297e-001	1.651106e+000
2.226108097307614e-001	1.680569e+000
2.232413230012247e-001	1.739883e+000
2.245023495421514e-001	1.857806e+000
2.250000000000000e-001	1.903617e+000
2.252010844207219e-001	1.921371e+000
2.256032532621656e-001	1.956108e+000
2.264075909450530e-001	2.021627e+000
2.280000000000000e-001	2.143686e+000
2.281608675365775e-001	2.154540e+000
2.284826026097325e-001	2.175145e+000
2.291260727560424e-001	2.209199e+000
2.304130130486623e-001	2.257179e+000
2.310000000000000e-001	2.269912e+000
2.310942826387401e-001	2.270042e+000
2.312828479162204e-001	2.269535e+000
2.316599784711809e-001	2.264866e+000
2.324142395811019e-001	2.241603e+000
2.339227618009438e-001	2.169380e+000
2.340000000000000e-001	2.164605e+000
2.340344321447643e-001	2.162112e+000
2.341032964342928e-001	2.157046e+000
2.342410250133498e-001	2.146515e+000
2.345164821714638e-001	2.123660e+000
2.350673964876919e-001	2.069961e+000
2.361692251201480e-001	1.939841e+000
2.370000000000000e-001	1.825767e+000
2.370123103793846e-001	1.823802e+000
2.370369311381538e-001	1.819856e+000
2.370861726556923e-001	1.811899e+000
2.371846556907692e-001	1.795730e+000
2.373816217609229e-001	1.762497e+000
2.377755539012305e-001	1.693343e+000
2.385634181818455e-001	1.549796e+000
2.400000000000000e-001	1.283197e+000
2.400631058297139e-001	1.271525e+000
2.401893174891418e-001	1.248283e+000
2.404417408079975e-001	1.202336e+000
2.409465874457089e-001	1.112928e+000
2.419562807211318e-001	9.421738e-001
2.430000000000000e-001	7.736081e-001
2.431115458756670e-001	7.569044e-001
2.433346376270009e-001	7.241557e-001
2.437808211296688e-001	6.621928e-001
2.445516010771352e-001	5.664181e-001
2.454749496297675e-001	4.687165e-001
2.460000000000000e-001	4.217859e-001
2.461046983900216e-001	4.144861e-001
2.463140951700647e-001	4.008780e-001
2.467328887301509e-001	3.782506e-001
2.475704758503234e-001	3.480999e-001
2.489377841689398e-001	3.205939e-001
2.490000000000000e-001	3.201047e-001
2.490203300653577e-001	3.201098e-001
2.490609901960731e-001	3.201409e-001
2.491423104575038e-001	3.203017e-001
2.493049509803653e-001	3.210009e-001
2.496302320260884e-001	3.237143e-001
2.502807941175345e-001	3.330756e-001
2.515819183004266e-001	3.587464e-001
2.520000000000000e-001	3.684901e-001
2.521716778117509e-001	3.729619e-001
2.525150334352528e-001	3.820437e-001
2.532017446822565e-001	4.007381e-001
2.545751671762638e-001	4.391207e-001
2.550000000000000e-001	4.512129e-001
2.550705572407424e-001	4.532480e-001
2.552116717222273e-001	4.573058e-001
2.554939006851970e-001	4.652784e-001
2.560583586111364e-001	4.800546e-001
2.571872744630151e-001	5.053813e-001
2.580000000000000e-001	5.203563e-001
2.581168016344152e-001	5.217851e-001
2.583504049032455e-001	5.244238e-001
2.588176114409062e-001	5.290882e-001
2.596738622719069e-001	5.372512e-001
2.606178816388037e-001	5.470700e-001
2.610000000000000e-001	5.516475e-001
2.610272560080057e-001	5.520294e-001
2.610817680240171e-001	5.528030e-001
2.611907920560399e-001	5.543877e-001
2.614088401200855e-001	5.576226e-001
2.618449362481767e-001	5.637527e-001
2.627171285043591e-001	5.733964e-001
2.635702972833111e-001	5.785384e-001
2.640000000000000e-001	5.788754e-001
2.640950851178353e-001	5.783323e-001
2.642852553535057e-001	5.769862e-001
2.646655958248467e-001	5.734040e-001
2.654089242481798e-001	5.651084e-001
2.664606112605927e-001	5.534731e-001
2.670000000000000e-001	5.483095e-001
2.670804029698906e-001	5.478045e-001
